epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.9036877490580082,0.0,0.6963071845471859,0.9593923192471265,0.8008639473195623,0.5602771362586605,0.7390499691548427,0.9930242100943784,0.0009984740801978985
2,0.5259445883333683,0.0,0.6997937344014644,0.5819280862808227,-1.0,-1.0,-1.0,-1.0,0.0009939057285945933
3,0.5249968089163304,0.0,0.6969915553927422,0.5807561311870814,-1.0,-1.0,-1.0,-1.0,0.00098632311059685
4,0.4763522665947676,0.0,0.6976695872843266,0.5321658331900835,-1.0,-1.0,-1.0,-1.0,0.0009757729755661011
5,0.49780498668551443,0.0,0.6966003194451332,0.55353301204741,0.9068363934686497,0.5017705927636643,0.008019740900678593,0.9997948297086582,0.000962320368593087
6,0.45282234586775305,0.0,0.6944811262190342,0.508380837738514,-1.0,-1.0,-1.0,-1.0,0.0009460482294732421
7,0.43769604433327913,0.0,0.6958640173077584,0.4933651641011238,-1.0,-1.0,-1.0,-1.0,0.0009270568813552756
8,0.43078132569789884,0.0,0.694595830887556,0.48634899146854876,-1.0,-1.0,-1.0,-1.0,0.000905463412215599
9,0.4438844023272395,0.0,0.6941029623150825,0.4994126409292221,-1.0,-1.0,-1.0,-1.0,0.0008814009529720154
10,0.432633026316762,0.0,0.6945496506989002,0.4881969943642616,0.3968127205612294,0.8652809853733642,0.006785934608266502,0.9991793188346327,0.000855017856687341
11,0.4080814650282264,0.0,0.6942732125520706,0.46362332031130793,-1.0,-1.0,-1.0,-1.0,0.000826476783923441
12,0.40335060879588125,0.0,0.6937768943607807,0.45885276012122633,-1.0,-1.0,-1.0,-1.0,0.0007959536998847741
13,0.38972073532640933,0.0,0.6939363665878773,0.4452356446534395,-1.0,-1.0,-1.0,-1.0,0.0007636367895343945
14,0.435202694311738,0.0,0.6935059979557991,0.49068317394703626,-1.0,-1.0,-1.0,-1.0,0.0007297252973710755
15,0.4284664303064346,0.0,0.6930621102452278,0.48391139730811117,0.38345953524342125,0.8714395688991532,0.008019740900678593,0.9997948297086582,0.0006944282990207194
16,0.44245374463498593,0.0,0.6956633567810059,0.49810681194067,-1.0,-1.0,-1.0,-1.0,0.0006579634122155989
17,0.4203202698379755,0.0,0.6942744091153145,0.4758622221648693,-1.0,-1.0,-1.0,-1.0,0.0006205554551086731
18,0.40709795281291006,0.0,0.6930245816707611,0.462539916113019,-1.0,-1.0,-1.0,-1.0,0.0005824350601949142
19,0.4016771301627159,0.0,0.6936531782150268,0.4571693819016218,-1.0,-1.0,-1.0,-1.0,0.0005438372523852832
20,0.4218357602134347,0.0,0.6945834942162037,0.4774024374783039,0.44262258743579064,0.8712856043110084,0.008019740900678593,0.9995896594173164,0.0005049999999999999
21,0.3848116993904114,0.0,0.6934843964874744,0.4402904506772757,-1.0,-1.0,-1.0,-1.0,0.0004661627476147167
22,0.4109979052096605,0.0,0.6938715197145939,0.46650762502104043,-1.0,-1.0,-1.0,-1.0,0.00042756493980508576
23,0.3423976808786392,0.0,0.6923169329762459,0.39778303503990176,-1.0,-1.0,-1.0,-1.0,0.0003894445448913268
24,0.36823674496263264,0.0,0.6937166132032871,0.42373407259583473,-1.0,-1.0,-1.0,-1.0,0.000352036587784401
25,0.3547156048938632,0.0,0.6932951048016548,0.4101792126893997,0.3662149426751728,0.8688221709006928,0.008019740900678593,0.9995896594173164,0.0003155717009792805
26,0.3766139470040798,0.0,0.6937823198735714,0.4321165304630995,-1.0,-1.0,-1.0,-1.0,0.00028027470262892423
27,0.3455120515078306,0.0,0.6929491385817528,0.4009479820728302,-1.0,-1.0,-1.0,-1.0,0.0002463632104656052
28,0.32262729704380033,0.0,0.6934762336313725,0.37810539584606884,-1.0,-1.0,-1.0,-1.0,0.00021404630011522574
29,0.325657001696527,0.0,0.6933168344199657,0.3811223490163684,-1.0,-1.0,-1.0,-1.0,0.00018352321607655907
30,0.31308588702231643,0.0,0.6933030821382999,0.3685501327738166,0.40445520543336316,0.8429561200923787,0.008019740900678593,0.9997948297086582,0.00015498214331265893
31,0.32742013186216357,0.0,0.6928360767662525,0.38284701853990555,-1.0,-1.0,-1.0,-1.0,0.00012859904702798464
32,0.3384861582890153,0.0,0.6933729708194732,0.3939559945836663,-1.0,-1.0,-1.0,-1.0,0.00010453658778440102
33,0.31425557788461445,0.0,0.6929380878806114,0.36969062257558105,-1.0,-1.0,-1.0,-1.0,8.294311864472433e-05
34,0.3566796788945794,0.0,0.6935514129698277,0.41216378957033156,-1.0,-1.0,-1.0,-1.0,6.395177052675792e-05
35,0.310420416854322,0.0,0.6932031720876694,0.36587666887789966,0.42741040636522204,0.8378752886836027,0.008019740900678593,0.9997948297086582,4.7679631406913044e-05
36,0.3185243718326092,0.0,0.6936132043600083,0.37401342689990996,-1.0,-1.0,-1.0,-1.0,3.422702443389899e-05
37,0.31644304320216177,0.0,0.6930477634072304,0.37188686337321997,-1.0,-1.0,-1.0,-1.0,2.3676889403150102e-05
38,0.3094665305688977,0.0,0.693239402025938,0.3649256817996502,-1.0,-1.0,-1.0,-1.0,1.609427140540686e-05
39,0.3330838015303016,0.0,0.6936369977891446,0.3885747591033578,-1.0,-1.0,-1.0,-1.0,1.1525919802101659e-05
40,0.3012866318225861,0.0,0.6933635994791985,0.35675571840256454,0.44328173815607563,0.8340261739799846,0.008019740900678593,0.9997948297086582,1e-05
