epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.908507763966918,0.8428822621703148,0.0,0.9085984695702791,0.692968093348614,0.7330254041570439,0.049352251696483655,0.9989741485432909,0.0009984740801978985
2,0.5288764081895352,0.7650879189372063,0.0,0.5293829314410686,-1.0,-1.0,-1.0,-1.0,0.0009939057285945933
3,0.49998785331845286,0.7341777428984642,0.0,0.5012085113674403,-1.0,-1.0,-1.0,-1.0,0.00098632311059685
4,0.468411860242486,0.733005104213953,0.0,0.4706878114491701,-1.0,-1.0,-1.0,-1.0,0.0009757729755661011
5,0.4818116039037704,0.7290262706577778,0.0,0.48545049913227556,0.44742732395384294,0.7795227097767513,0.008019740900678593,0.9993844891259746,0.000962320368593087
6,0.4655757639557123,0.7298397339880467,0.0,0.47092340849339964,-1.0,-1.0,-1.0,-1.0,0.0009460482294732421
7,0.4674971517175436,0.7318282529711724,0.0,0.4748896863311529,-1.0,-1.0,-1.0,-1.0,0.0009270568813552756
8,0.4302101980894804,0.7290478974580765,0.0,0.43992394432425497,-1.0,-1.0,-1.0,-1.0,0.000905463412215599
9,0.45659804791212083,0.7234793528914452,0.0,0.4688828378915787,-1.0,-1.0,-1.0,-1.0,0.0008814009529720154
10,0.4738606784492731,0.7243075333535671,0.0,0.489144092425704,0.45594129631664315,0.7465742879137798,0.008019740900678593,0.9991793188346327,0.000855017856687341
11,0.4194926869124174,0.7268853165209294,0.0,0.43814162276685237,-1.0,-1.0,-1.0,-1.0,0.000826476783923441
12,0.4069808766245842,0.7156792961061,0.0,0.4289150509983301,-1.0,-1.0,-1.0,-1.0,0.0007959536998847741
13,0.390302143804729,0.7038124948740005,0.0,0.4156913448125124,-1.0,-1.0,-1.0,-1.0,0.0007636367895343945
14,0.39762749392539265,0.7159598492085933,0.0,0.42768581714481113,-1.0,-1.0,-1.0,-1.0,0.0007297252973710755
15,0.36348525490611794,0.7163336560130119,0.0,0.3980909392237663,0.4848419217075909,0.7881447267128561,0.008019740900678593,0.9997948297086582,0.0006944282990207194
16,0.4191073527559638,0.7029653616249562,0.0,0.4578291971236467,-1.0,-1.0,-1.0,-1.0,0.0006579634122155989
17,0.43661588337272406,0.7164484359323978,0.0,0.4812521006911993,-1.0,-1.0,-1.0,-1.0,0.0006205554551086731
18,0.40856902953237295,0.7065552607178688,0.0,0.4580101579427719,-1.0,-1.0,-1.0,-1.0,0.0005824350601949142
19,0.39798656608909366,0.6986335948109627,0.0,0.4494383353739977,-1.0,-1.0,-1.0,-1.0,0.0005438372523852832
20,0.3907189454883337,0.7017689816653728,0.0,0.44160821549594403,0.39105448362641926,0.8024634334103157,0.008019740900678593,0.9989741485432909,0.0005049999999999999
21,0.3878486633300781,0.6987453289330006,0.0,0.435027152299881,-1.0,-1.0,-1.0,-1.0,0.0004661627476147167
22,0.39094702117145064,0.695344389975071,0.0,0.434419148042798,-1.0,-1.0,-1.0,-1.0,0.00042756493980508576
23,0.3714895689859986,0.7022152841091156,0.0,0.41187272444367407,-1.0,-1.0,-1.0,-1.0,0.0003894445448913268
24,0.39943518172949555,0.697222325950861,0.0,0.436067920550704,-1.0,-1.0,-1.0,-1.0,0.000352036587784401
25,0.34640228319913147,0.6886972822248936,0.0,0.3791365224868059,0.4226296568875867,0.7995381062355659,0.008019740900678593,0.9995896594173164,0.0003155717009792805
26,0.3142445808276534,0.6837144635617733,0.0,0.3433482863008976,-1.0,-1.0,-1.0,-1.0,0.00028027470262892423
27,0.389006089232862,0.6924667917191982,0.0,0.41498384308069947,-1.0,-1.0,-1.0,-1.0,0.0002463632104656052
28,0.37052315156906845,0.6909567043185234,0.0,0.3930036697536707,-1.0,-1.0,-1.0,-1.0,0.00021404630011522574
29,0.3652371605858207,0.6987429365515709,0.0,0.3844768863171339,-1.0,-1.0,-1.0,-1.0,0.00018352321607655907
30,0.34439503122121096,0.6861248306930066,0.0,0.3598603276535869,0.3449748484559753,0.8672825250192455,0.008019740900678593,0.9997948297086582,0.00015498214331265893
31,0.3606518514454365,0.6916808515787125,0.0,0.37277213372290136,-1.0,-1.0,-1.0,-1.0,0.00012859904702798464
32,0.34517719224095345,0.6831173121929168,0.0,0.35372585859149697,-1.0,-1.0,-1.0,-1.0,0.00010453658778440102
33,0.2945475408807397,0.6834229595959187,0.0,0.29969178028404714,-1.0,-1.0,-1.0,-1.0,8.294311864472433e-05
34,0.2911712346598506,0.676705078035593,0.0,0.2928706733509898,-1.0,-1.0,-1.0,-1.0,6.395177052675792e-05
35,0.3658433111384511,0.686719211935997,0.0,0.3658433111384511,0.5392582366336208,0.7835257890685142,0.008019740900678593,0.9997948297086582,4.7679631406913044e-05
36,0.29498824048787353,0.6823008812963962,0.0,0.29498824048787353,-1.0,-1.0,-1.0,-1.0,3.422702443389899e-05
37,0.28019894659519196,0.6623111635446548,0.0,0.28019894659519196,-1.0,-1.0,-1.0,-1.0,2.3676889403150102e-05
38,0.2951512518338859,0.6731693655252456,0.0,0.2951512518338859,-1.0,-1.0,-1.0,-1.0,1.609427140540686e-05
39,0.3141416823491454,0.6732128649950028,0.0,0.3141416823491454,-1.0,-1.0,-1.0,-1.0,1.1525919802101659e-05
40,0.30065674278885124,0.6658895298838615,0.0,0.30065674278885124,0.38140584764524643,0.8355658198614319,0.008019740900678593,0.9997948297086582,1e-05
