nohup: ignoring input
/data2/ranran/chenghaoyue/ISGFAN/Data/dataset.py:176: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  cache = torch.load(TEST_DATA_PATH)

Initializing data loaders ...

Loading existing test dataset from /data2/ranran/chenghaoyue/ISGFAN/Data/test_dataset.pt

Data Statistics
Source Train : 2100
Target (no y): 2100
Test (y)     : 2100
2026-03-06 01:52:30,786 - INFO - [Epoch 150/3500] loss_total=0.751229, loss_main=0.324393, loss_diff_source=109.192193, loss_label_inv=2.264107, loss_global_dom=0.655642, loss_recon=0.445106, loss_local_dom=0.394832, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2109, lr=0.00009956, epoch_time=00:00:04, eta=04:03:01
2026-03-06 01:53:15,138 - INFO - [Epoch 160/3500] loss_total=0.749973, loss_main=0.330838, loss_diff_source=106.612206, loss_label_inv=2.252760, loss_global_dom=0.659498, loss_recon=0.366718, loss_local_dom=0.301076, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2245, lr=0.00009950, epoch_time=00:00:04, eta=04:02:34
2026-03-06 01:53:59,438 - INFO - [Epoch 170/3500] loss_total=0.695275, loss_main=0.278719, loss_diff_source=105.139535, loss_label_inv=2.231991, loss_global_dom=0.652647, loss_recon=0.351851, loss_local_dom=0.365265, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2380, lr=0.00009943, epoch_time=00:00:04, eta=04:02:05
2026-03-06 01:54:44,118 - INFO - [Epoch 180/3500] loss_total=0.676458, loss_main=0.266199, loss_diff_source=104.718069, loss_label_inv=2.216396, loss_global_dom=0.652347, loss_recon=0.319878, loss_local_dom=0.325975, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2515, lr=0.00009936, epoch_time=00:00:03, eta=04:01:41
2026-03-06 01:55:28,943 - INFO - [Epoch 190/3500] loss_total=0.692153, loss_main=0.267859, loss_diff_source=101.547289, loss_label_inv=2.201278, loss_global_dom=0.652029, loss_recon=0.299970, loss_local_dom=0.464811, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2648, lr=0.00009929, epoch_time=00:00:04, eta=04:01:17
2026-03-06 01:56:12,392 - INFO - [Epoch 200/3500] loss_total=0.641963, loss_main=0.231064, loss_diff_source=99.824307, loss_label_inv=2.194606, loss_global_dom=0.646040, loss_recon=0.284021, loss_local_dom=0.407776, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2780, lr=0.00009921, epoch_time=00:00:03, eta=04:00:29
2026-03-06 01:56:12,598 - INFO - [Eval @ Epoch 200/3500] test_loss=0.597045, test_acc=0.8038
2026-03-06 01:56:55,159 - INFO - [Epoch 210/3500] loss_total=0.625807, loss_main=0.214641, loss_diff_source=101.477727, loss_label_inv=2.192358, loss_global_dom=0.638220, loss_recon=0.468017, loss_local_dom=0.450093, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.2911, lr=0.00009913, epoch_time=00:00:03, eta=03:59:30
2026-03-06 01:57:37,871 - INFO - [Epoch 220/3500] loss_total=0.640827, loss_main=0.233332, loss_diff_source=99.052029, loss_label_inv=2.213147, loss_global_dom=0.638925, loss_recon=0.244648, loss_local_dom=0.412989, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3042, lr=0.00009905, epoch_time=00:00:03, eta=03:58:32
2026-03-06 01:58:20,281 - INFO - [Epoch 230/3500] loss_total=0.635492, loss_main=0.217738, loss_diff_source=95.704947, loss_label_inv=2.251545, loss_global_dom=0.640905, loss_recon=0.231326, loss_local_dom=0.521596, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3171, lr=0.00009896, epoch_time=00:00:03, eta=03:57:31
