epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.9077760972082615,0.0,0.6958591096103192,1.0469479247927667,0.5862405013358988,0.7458044649730562,0.008019740900678593,0.9997948297086582,0.0009984740801978985
2,0.5243888176977635,0.0,0.6953161515295505,0.6634520541876554,-1.0,-1.0,-1.0,-1.0,0.0009939057285945933
3,0.4631381999701262,0.0,0.6942653484642506,0.6019912734627724,-1.0,-1.0,-1.0,-1.0,0.00098632311059685
4,0.4610175140202045,0.0,0.693973558396101,0.599812225624919,-1.0,-1.0,-1.0,-1.0,0.0009757729755661011
5,0.49167635329067705,0.0,0.6955697514116764,0.6307903062552214,0.6121322722504743,0.7462663587374904,0.008019740900678593,0.9995896594173164,0.000962320368593087
6,0.43026247099041937,0.0,0.6937056846916676,0.5690036106854677,-1.0,-1.0,-1.0,-1.0,0.0009460482294732421
7,0.45988278463482857,0.0,0.6935582131147384,0.5985944326967001,-1.0,-1.0,-1.0,-1.0,0.0009270568813552756
8,0.44506707042455673,0.0,0.6941286727786065,0.5838928066194058,-1.0,-1.0,-1.0,-1.0,0.000905463412215599
9,0.4405568167567253,0.0,0.6941029094159603,0.5793774001300335,-1.0,-1.0,-1.0,-1.0,0.0008814009529720154
10,0.4547829233109951,0.0,0.6938697412610054,0.5935568772256374,0.697073072961333,0.5795227097767514,0.007402837754472548,0.9997948297086582,0.000855017856687341
11,0.41426242478191855,0.0,0.6935999631881714,0.5529824204742908,-1.0,-1.0,-1.0,-1.0,0.000826476783923441
12,0.41001417133957146,0.0,0.6937925063073636,0.5487726762890816,-1.0,-1.0,-1.0,-1.0,0.0007959536998847741
13,0.4549602672457695,0.0,0.693491405248642,0.5936585538089275,-1.0,-1.0,-1.0,-1.0,0.0007636367895343945
14,0.4182383731007576,0.0,0.6932916328310966,0.5568966988474131,-1.0,-1.0,-1.0,-1.0,0.0007297252973710755
15,0.3969198767095804,0.0,0.6935144804418087,0.535622775927186,0.40692274886612895,0.8642032332563511,0.008019740900678593,0.9997948297086582,0.0006944282990207194
16,0.40418219808489086,0.0,0.693358701467514,0.5428539417684078,-1.0,-1.0,-1.0,-1.0,0.0006579634122155989
17,0.4083147171884775,0.0,0.6934447266161442,0.5470036655664444,-1.0,-1.0,-1.0,-1.0,0.0006205554551086731
18,0.38108054269105196,0.0,0.6931725889444351,0.5197150617837906,-1.0,-1.0,-1.0,-1.0,0.0005824350601949142
19,0.4236328134313226,0.0,0.6933538176119327,0.5623035795986653,-1.0,-1.0,-1.0,-1.0,0.0005438372523852832
20,0.37794160544872285,0.0,0.69336963519454,0.5166155356913805,0.7659793917539948,0.5665896843725943,0.5515114127082048,0.9997948297086582,0.0005049999999999999
21,0.37731698155403137,0.0,0.6930278226733207,0.5159225471317768,-1.0,-1.0,-1.0,-1.0,0.0004661627476147167
22,0.3799281710758805,0.0,0.693471372872591,0.518622450530529,-1.0,-1.0,-1.0,-1.0,0.00042756493980508576
23,0.3757728001102805,0.0,0.6932680532336235,0.514426414296031,-1.0,-1.0,-1.0,-1.0,0.0003894445448913268
24,0.4034179963171482,0.0,0.6933092623949051,0.5420798528939486,-1.0,-1.0,-1.0,-1.0,0.000352036587784401
25,0.36887755841016767,0.0,0.6932104714214802,0.5075196575373411,0.3398732672341518,0.8677444187836798,0.007402837754472548,0.9993844891259746,0.0003155717009792805
26,0.3312562081962824,0.0,0.6931290335953235,0.4698820192366838,-1.0,-1.0,-1.0,-1.0,0.00028027470262892423
27,0.36466130912303923,0.0,0.6933312773704529,0.5033275686204434,-1.0,-1.0,-1.0,-1.0,0.0002463632104656052
28,0.37559630554169415,0.0,0.6930796854197979,0.5142122473567724,-1.0,-1.0,-1.0,-1.0,0.00021404630011522574
29,0.3190501844510436,0.0,0.6934177681803704,0.4577337369322777,-1.0,-1.0,-1.0,-1.0,0.00018352321607655907
30,0.32401251811534165,0.0,0.6934251487255096,0.4626975506544113,0.37419141995347033,0.846189376443418,0.008019740900678593,0.9997948297086582,0.00015498214331265893
31,0.34000925775617363,0.0,0.6933223523199559,0.47867373190820217,-1.0,-1.0,-1.0,-1.0,0.00012859904702798464
32,0.3345173281617463,0.0,0.6931637696921825,0.4731500882655382,-1.0,-1.0,-1.0,-1.0,0.00010453658778440102
33,0.3688125917688012,0.0,0.6931997798383236,0.5074525509029627,-1.0,-1.0,-1.0,-1.0,8.294311864472433e-05
34,0.3452203555032611,0.0,0.6933574080467224,0.4838918372988701,-1.0,-1.0,-1.0,-1.0,6.395177052675792e-05
35,0.3092952102422714,0.0,0.6932069636881352,0.4479366086423397,0.5567663360963517,0.7892224788298692,0.008019740900678593,0.9997948297086582,4.7679631406913044e-05
36,0.29415725320577624,0.0,0.6933044768869877,0.4328181505203247,-1.0,-1.0,-1.0,-1.0,3.422702443389899e-05
37,0.3329339653253555,0.0,0.6931962855160236,0.4715732268989086,-1.0,-1.0,-1.0,-1.0,2.3676889403150102e-05
38,0.3071435209363699,0.0,0.6932830184698104,0.44580012671649455,-1.0,-1.0,-1.0,-1.0,1.609427140540686e-05
39,0.3360481449402869,0.0,0.6934753477573394,0.4747432194650173,-1.0,-1.0,-1.0,-1.0,1.1525919802101659e-05
40,0.31669144351035355,0.0,0.693120451271534,0.4553155343979597,0.7321249929182891,0.7096227867590454,0.008019740900678593,0.9997948297086582,1e-05
