epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.9095830246806145,5.866819939506773e-05,0.0,0.9096416994929314,0.6300906357625707,0.7433410315627406,0.008019740900678593,0.9987689782519491,0.0009984740801978985
2,0.54008081369102,0.00046443797627659933,0.0,0.5405452504754067,-1.0,-1.0,-1.0,-1.0,0.0009939057285945933
3,0.5047800716012716,0.0011010649909508174,0.0,0.5058811377733946,-1.0,-1.0,-1.0,-1.0,0.00098632311059685
4,0.4709135368466377,0.0010052856906156648,0.0,0.47191882133483887,-1.0,-1.0,-1.0,-1.0,0.0009757729755661011
5,0.4922742318361998,0.0009030629795233836,0.0,0.49317729398608207,0.4468133918958228,0.8697459584295612,0.008019740900678593,0.9991793188346327,0.000962320368593087
6,0.4722044158726931,0.0011796996939779092,0.0,0.4733841147273779,-1.0,-1.0,-1.0,-1.0,0.0009460482294732421
7,0.4658302631229162,0.001052467013605707,0.0,0.4668827269226313,-1.0,-1.0,-1.0,-1.0,0.0009270568813552756
8,0.42985285483300684,0.000987970834302132,0.0,0.430840827152133,-1.0,-1.0,-1.0,-1.0,0.000905463412215599
9,0.466221097484231,0.0019352372092271252,0.0,0.4681563364341855,-1.0,-1.0,-1.0,-1.0,0.0008814009529720154
10,0.4790044568479061,0.0016119482688964127,0.0,0.480616407096386,0.5185989618301392,0.7456505003849114,0.008019740900678593,0.9997948297086582,0.000855017856687341
11,0.42727631889283657,0.0005300129077454585,0.0,0.427806331589818,-1.0,-1.0,-1.0,-1.0,0.000826476783923441
12,0.40548644959926605,0.0006932116254091625,0.0,0.4061796609312296,-1.0,-1.0,-1.0,-1.0,0.0007959536998847741
13,0.385886912047863,0.0006197235957387193,0.0,0.3865066360682249,-1.0,-1.0,-1.0,-1.0,0.0007636367895343945
14,0.4142500672489405,0.003233119910271398,0.0,0.41748318653553723,-1.0,-1.0,-1.0,-1.0,0.0007297252973710755
15,0.3726164301857352,0.00033444998700389307,0.0,0.3729508798569441,0.5583995077681596,0.736874518860662,0.008019740900678593,0.9997948297086582,0.0006944282990207194
16,0.43411452099680903,0.0022472038782467506,0.0,0.4363617248833179,-1.0,-1.0,-1.0,-1.0,0.0006579634122155989
17,0.4312168350443244,0.0016641983014210383,0.0,0.4328810339793563,-1.0,-1.0,-1.0,-1.0,0.0006205554551086731
18,0.4083585308864713,0.0028817462094366418,0.0,0.4112402779981494,-1.0,-1.0,-1.0,-1.0,0.0005824350601949142
19,0.40238563138991595,0.0032460108701684474,0.0,0.40563164111226796,-1.0,-1.0,-1.0,-1.0,0.0005438372523852832
20,0.40406552124768497,0.0024887758113694147,0.0,0.4065542982891202,0.5341803626430502,0.745342571208622,0.008019740900678593,0.9963069347558473,0.0005049999999999999
21,0.393432723544538,0.0005575391875083824,0.0,0.3939902620390058,-1.0,-1.0,-1.0,-1.0,0.0004661627476147167
22,0.386151403747499,0.0037328403900801278,0.0,0.38988424465060234,-1.0,-1.0,-1.0,-1.0,0.00042756493980508576
23,0.3832317091524601,0.00042801388379984926,0.0,0.38365972340106963,-1.0,-1.0,-1.0,-1.0,0.0003894445448913268
24,0.4081647234037519,0.00038644994442762484,0.0,0.4085511740297079,-1.0,-1.0,-1.0,-1.0,0.000352036587784401
25,0.3633300982415676,0.007898368756178798,0.0,0.37122846841812135,0.4186591528671535,0.828175519630485,0.008019740900678593,0.9997948297086582,0.0003155717009792805
26,0.34604801833629606,0.0005406875142512036,0.0,0.34658870492130517,-1.0,-1.0,-1.0,-1.0,0.00028027470262892423
27,0.40282935798168185,0.0033873853268573837,0.0,0.406216742657125,-1.0,-1.0,-1.0,-1.0,0.0002463632104656052
28,0.38891350347548725,0.0034270032501041215,0.0,0.3923405071720481,-1.0,-1.0,-1.0,-1.0,0.00021404630011522574
29,0.37435865458101036,0.004743092351452561,0.0,0.3791017472743988,-1.0,-1.0,-1.0,-1.0,0.00018352321607655907
30,0.3660276738926768,0.002437103182660394,0.0,0.3684647770598531,0.6568478667983833,0.7120862201693611,0.008019740900678593,0.9997948297086582,0.00015498214331265893
31,0.3788164399564266,0.00040959234917181675,0.0,0.3792260341346264,-1.0,-1.0,-1.0,-1.0,0.00012859904702798464
32,0.3658443780615926,0.0004084778665117028,0.0,0.3662528570741415,-1.0,-1.0,-1.0,-1.0,0.00010453658778440102
33,0.3124953143298626,0.00036652937605481385,0.0,0.31286184322088956,-1.0,-1.0,-1.0,-1.0,8.294311864472433e-05
34,0.3127455566078424,0.0004152461269796959,0.0,0.31316080298274757,-1.0,-1.0,-1.0,-1.0,6.395177052675792e-05
35,0.3868221504613757,0.004446347465730938,0.0,0.39126849789172413,0.8859823790580332,0.6515781370284834,0.008019740900678593,0.9997948297086582,4.7679631406913044e-05
36,0.3161063654348254,0.006030604230556946,0.0,0.3221369706094265,-1.0,-1.0,-1.0,-1.0,3.422702443389899e-05
37,0.3016654569655657,0.004266334053670562,0.0,0.3059317909181118,-1.0,-1.0,-1.0,-1.0,2.3676889403150102e-05
38,0.31673642210662367,0.004611364957656861,0.0,0.321347788721323,-1.0,-1.0,-1.0,-1.0,1.609427140540686e-05
39,0.3291319439187646,0.007662767977890894,0.0,0.3367947110906243,-1.0,-1.0,-1.0,-1.0,1.1525919802101659e-05
40,0.3241919197142124,0.0027743465365460906,0.0,0.32696626633405684,0.5786918413097625,0.7579676674364896,0.008019740900678593,0.9997948297086582,1e-05
