epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.9048820897936821,0.0,0.6958673544228077,1.0440555661916733,0.5825428712542374,0.7456505003849114,0.008019740900678593,0.9997948297086582,0.000962320368593087
2,0.5197830654680728,0.0,0.6945812284946442,0.6586993113160133,-1.0,-1.0,-1.0,-1.0,0.000855017856687341
3,0.4676941897720098,0.0,0.6942473016679287,0.6065436519682408,-1.0,-1.0,-1.0,-1.0,0.0006944282990207195
4,0.457620233297348,0.0,0.694546652585268,0.5965295676141977,-1.0,-1.0,-1.0,-1.0,0.000505
5,0.47149002701044085,0.0,0.6940412797033787,0.6102982863783837,0.4394662635935739,0.7744418783679754,0.008019740900678593,0.9997948297086582,0.0003155717009792806
6,0.4159962095320225,0.0,0.6937195651233197,0.5547401290386915,-1.0,-1.0,-1.0,-1.0,0.00015498214331265898
7,0.4316694397479296,0.0,0.6948316112160683,0.5706357683986425,-1.0,-1.0,-1.0,-1.0,4.7679631406913064e-05
8,0.3935123845934868,0.0,0.6936685889959335,0.5322461050003767,0.4825616988151967,0.7976905311778291,0.00987045033929673,0.9997948297086582,1e-05
