epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.9084646813571453,0.0,0.0,0.9084646813571453,0.5914729651989985,0.7433410315627406,0.008019740900678593,0.9987689782519491,0.000962320368593087
2,0.534215072914958,0.0,0.0,0.534215072914958,-1.0,-1.0,-1.0,-1.0,0.000855017856687341
3,0.4936771787703037,0.0,0.0,0.4936771787703037,-1.0,-1.0,-1.0,-1.0,0.0006944282990207195
4,0.4547326978296041,0.0,0.0,0.4547326978296041,-1.0,-1.0,-1.0,-1.0,0.000505
5,0.4418640423566103,0.0,0.0,0.4418640423566103,0.4551103186111803,0.8292532717474981,0.008019740900678593,0.9997948297086582,0.0003155717009792806
6,0.42788043096661565,0.0,0.0,0.42788043096661565,-1.0,-1.0,-1.0,-1.0,0.00015498214331265898
7,0.39802825134247544,0.0,0.0,0.39802825134247544,-1.0,-1.0,-1.0,-1.0,4.7679631406913064e-05
8,0.35112183932214974,0.0,0.0,0.35112183932214974,0.44909784035833183,0.8164742109314858,0.008019740900678593,0.9997948297086582,1e-05
